title,brand,price,rating,reviews,image_url,product_url
"Webby Plush Husky Dog Stuffed Animal Puppy Soft Toy, Adorable Gifts for Kids and Adult, Glitter Eyes Soft Toy, 35CM (Grey)",M.R.P:,400.0,4.5,924,https://m.media-amazon.com/images/I/71A-WPv5q-L._AC_UL320_.jpg,https://www.amazon.in/Webby-Plush-Stuffed-Animal-Adorable/dp/B0B42TFR9D/ref=sr_1_15?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-15
Babique Pluto Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (30 Cm),M.R.P:,309.0,4.2,2335,https://m.media-amazon.com/images/I/61val7qNvyL._AC_UL320_.jpg,https://www.amazon.in/Babique-Pluto-Stuffed-Plush-Yellow/dp/B07ZJG1FGL/ref=sr_1_16?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-16
Storio Toy Super Cute Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids -Reversible Rabbit | Best Valentine Gift,M.R.P:,299.0,4.2,1679,https://m.media-amazon.com/images/I/51XjmK41FjL._AC_UL320_.jpg,https://www.amazon.in/Storio-Plushie-Reversible-Rabbit-Valentine/dp/B0CQG947NZ/ref=sr_1_17?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-17
"Niku Doll (30cm, Pink) | Soft Plush Doll Toy with Rabbit Ear, Teddy Bear, Best Gift Toy and Pillow for Kids, Girls and Adults | Valentines",M.R.P:,295.0,4.1,690,https://m.media-amazon.com/images/I/51iaZJwi7yL._AC_UL320_.jpg,https://www.amazon.in/Niku-Super-Rabbit-Pillow-Adults/dp/B0CR886N1T/ref=sr_1_18?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-18
"Babique Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (10 cm, Rattle Ball)",M.R.P:,110.0,3.9,2983,https://m.media-amazon.com/images/I/61JLJWkVeQL._AC_UL320_.jpg,https://www.amazon.in/Babique-Ball-Rattle-Sound-Birthday/dp/B08PVYDSX1/ref=sr_1_19?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-19
"Hug 'n' Feel Baby Penguin Soft Toy (25 cm) – Cute & Cuddly Random Color Plush Penguin for Kids & Babies – Ideal Gift for Newborns, Toddlers & Children – Perfect for Hugging, Snuggling & Playtime",M.R.P:,261.0,4.0,34271,https://m.media-amazon.com/images/I/511I9BYWonL._AC_UL320_.jpg,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Penguin/dp/B0CW1VMD99/ref=sr_1_20?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-20
SCOOBA Super Soft 30cm Small White Color Cow Soft Toy - Polyfill Washable Cuddly Soft Plush Toy - Helps to Learn Role Play,M.R.P:,379.0,4.2,586,https://m.media-amazon.com/images/I/51y39ofWmfL._AC_UL320_.jpg,https://www.amazon.in/SCOOBA-Super-Soft-30cm-Small/dp/B08SWP7FTB/ref=sr_1_25?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-25
"Babique Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (28 Cm, Monkey)",M.R.P:,159.0,4.3,3440,https://m.media-amazon.com/images/I/613HNieYoxL._AC_UL320_.jpg,https://www.amazon.in/Babique-Sitting-Monkey-Plush-Animal/dp/B08L21WXD8/ref=sr_1_26?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-26
SCOOBA Penguin Soft Toy 20 cm (Purple Penguin with Scarf),M.R.P:,299.0,4.3,694,https://m.media-amazon.com/images/I/31IiUwflKYL._AC_UL320_.jpg,https://www.amazon.in/SCOOBA-Penguin-Soft-Purple-Scarf/dp/B0F5BP2PB5/ref=sr_1_27?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-27
"Future Shop Pack of 4 Panda, Squirrel, Griffe & Pink Dolphine. Best Soft Combo Toys Toy for Cute Kids Baby Boys/Girls Animal Stuffed Plush Toy Teddy Bear for Kids.",M.R.P:,479.0,4.1,480,https://m.media-amazon.com/images/I/41CB-Bd3k3L._AC_UL320_.jpg,https://www.amazon.in/Future-Shop-Squirrel-Dolphine-Friendly/dp/B0C1NPYZB4/ref=sr_1_28?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW1qwo836mTKBqW1DyxE-bAL9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeF-saSJOETnbcc1FEzOboPBXfrs_3zlw8Fsqsblb6OePJeL0sTvybuBG9lY3DO1NMmpAjSpl93wCTrLd8wHumDuJ8l9tNhCOYIh1MjlN__6vs7oTNb-tBVvlmO883fb3kKsOZu2BSIOtKCepvQ5L1Ug.CBD3mXxUA12E5w2C9SZi1ZJbhim4e7I4Tnq2yzOJGCw&dib_tag=se&keywords=soft+toys&qid=1746966483&sr=8-28
